State/County,"Male life expectancy, 1985 (years)","Female life expectancy, 1985 (years)","Male life expectancy, 1990 (years)","Female life expectancy, 1990 (years)","Male life expectancy, 1995 (years)","Female life expectancy, 1995 (years)","Male life expectancy, 2000 (years)","Female life expectancy, 2000 (years)","Male life expectancy, 2005 (years)","Female life expectancy, 2005 (years)","Male life expectancy, 2010 (years)","Female life expectancy, 2010 (years)","Difference in male life expectancy, 1985-2010 (years)","Difference in female life expectancy, 1985-2010 (years)"
Adams,71.6,77.9,71.8,78.1,72.3,78.7,74.0,78.3,73.9,79.0,74.8,79.6,3.2,1.7
Asotin,73.1,78.8,72.2,79.3,72.9,79.9,75.5,80.1,76.2,80.2,76.2,81.6,3.1,2.8
Benton,73.5,79.3,74.3,79.1,75.3,80.0,76.5,80.0,77.2,80.1,77.5,81.4,3.9,2.2
Chelan,72.2,79.7,73.0,79.5,73.7,80.0,76.4,80.4,77.2,81.3,78.2,82.1,6.0,2.4
Clallam,72.4,80.0,73.1,79.3,73.6,80.2,75.2,81.0,75.6,81.4,75.4,81.4,3.0,1.4
Clark,72.5,78.5,73.5,79.3,74.4,79.5,75.8,79.8,76.4,80.3,77.9,81.2,5.4,2.7
Columbia,74.5,79.8,75.4,80.4,75.8,80.7,77.3,80.5,77.6,80.8,77.5,82.2,3.0,2.4
Cowlitz,72.0,78.8,72.8,78.5,72.9,78.3,73.9,78.4,73.8,78.5,74.9,79.5,2.9,0.7
Douglas,73.4,79.6,74.0,80.1,76.2,81.0,76.5,80.1,76.4,80.7,77.3,81.1,3.9,1.5
Ferry,73.0,79.2,73.3,79.3,73.8,79.5,74.9,80.1,75.8,79.8,76.6,80.4,3.6,1.2
Franklin,71.6,78.1,71.8,77.9,72.8,78.3,74.6,78.7,76.1,79.5,77.1,80.7,5.6,2.6
Garfield,74.5,79.8,75.4,80.4,75.8,80.7,77.3,80.5,77.6,80.8,77.5,82.2,3.0,2.4
Grant,72.9,79.3,73.2,78.4,73.4,78.9,74.5,79.3,75.0,79.6,75.8,80.7,3.0,1.4
Grays Harbor,70.9,76.8,70.6,76.9,71.3,78.0,72.8,77.8,72.8,78.3,73.9,78.9,3.1,2.1
Island,73.0,78.9,74.7,79.9,76.3,81.0,77.5,81.0,78.1,81.8,79.8,82.9,6.9,4.0
Jefferson,74.1,80.6,74.3,79.9,76.1,80.4,77.3,81.3,77.6,82.4,78.5,81.9,4.4,1.3
King,72.5,78.9,74.0,79.8,74.8,80.5,76.8,81.1,77.8,82.0,79.3,83.3,6.8,4.4
Kitsap,73.5,79.2,74.2,78.8,75.3,80.1,76.2,79.6,77.0,80.1,77.3,80.8,3.8,1.5
Kittitas,72.9,78.8,73.2,79.8,74.8,79.9,76.0,79.9,76.8,81.1,77.6,81.9,4.7,3.2
Klickitat,73.0,79.5,73.1,78.7,73.7,79.8,75.0,80.1,76.2,80.8,77.7,82.2,4.7,2.7
Lewis,71.7,79.0,71.9,78.5,72.1,78.5,73.6,79.0,74.2,78.8,75.8,80.5,4.1,1.5
Lincoln,73.0,79.2,73.3,79.3,73.8,79.5,74.9,80.1,75.8,79.8,76.6,80.4,3.6,1.2
Mason,72.8,79.3,73.4,79.4,72.9,79.3,74.1,79.2,75.3,79.0,76.5,81.0,3.7,1.7
Okanogan,71.2,78.9,71.1,78.9,72.2,79.3,73.2,79.4,74.1,79.7,74.5,80.6,3.3,1.8
Pacific,71.4,77.9,72.5,78.5,74.1,79.2,74.1,79.0,73.8,79.3,75.4,79.4,4.0,1.5
Pend Oreille,72.0,78.5,71.8,79.3,72.8,79.5,74.7,79.3,73.9,79.3,75.6,80.3,3.6,1.7
Pierce,71.8,78.1,72.3,78.5,73.2,78.7,74.5,79.0,75.0,79.7,76.2,80.3,4.4,2.2
San Juan,72.5,78.4,74.2,79.9,75.4,80.3,75.9,80.3,76.8,80.9,77.9,81.6,5.4,3.2
Skagit,72.2,78.9,73.2,79.1,74.7,80.1,75.5,80.2,76.1,80.5,77.3,80.7,5.1,1.8
Skamania,73.0,79.5,73.1,78.7,73.7,79.8,75.0,80.1,76.2,80.8,77.7,82.2,4.7,2.7
Snohomish,72.5,78.4,74.2,79.9,75.4,80.3,75.9,80.3,76.8,80.9,77.9,81.6,5.4,3.2
Spokane,72.5,79.0,73.3,79.4,74.1,79.4,75.0,79.7,75.7,79.8,76.6,80.3,4.0,1.3
Stevens,72.0,78.5,71.8,79.3,72.8,79.5,74.7,79.3,73.9,79.3,75.6,80.3,3.6,1.7
Thurston,73.6,79.6,74.5,79.7,74.9,80.4,75.8,80.2,76.5,80.6,78.1,81.6,4.5,2.1
Wahkiakum,71.4,77.9,72.5,78.5,74.1,79.2,74.1,79.0,73.8,79.3,75.4,79.4,4.0,1.5
Walla Walla,72.2,79.6,73.1,80.0,74.0,80.5,75.5,80.2,75.9,80.4,76.8,81.0,4.6,1.4
Whatcom,74.0,79.5,74.9,80.3,75.9,80.3,76.5,80.7,77.4,81.8,78.6,83.1,4.5,3.6
Whitman,74.5,79.8,75.4,80.4,75.8,80.7,77.3,80.5,77.6,80.8,77.5,82.2,3.0,2.4
Yakima,71.7,78.4,71.7,78.5,73.1,79.2,74.3,79.4,74.7,79.3,75.0,80.2,3.3,1.8
