GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10,VD11,VD12,VD13,VD14,VD15,VD16,VD17,VD18,VD19,VD20,VD21,VD22,VD23,VD24,VD25,VD26,VD27,VD28,VD29,VD30,VD31,VD32,VD33,VD34,VD35,VD36,VD37,VD38,VD39,VD40,VD41,VD42,VD43,VD44,VD45,VD46,VD47,VD48,VD49,VD50,VD51,VD52,VD53,VD54,VD55,VD56,VD57,VD58,VD59,VD60,VD61,VD62,VD63,VD64,VD65,VD66,VD67,VD68,VD69,VD70,VD71,VD72,VD73
Id,Id2,Geography,Total:,Hispanic or Latino,Not Hispanic or Latino:,Not Hispanic or Latino: - Population of one race:,Not Hispanic or Latino: - Population of one race: - White alone,Not Hispanic or Latino: - Population of one race: - Black or African American alone,Not Hispanic or Latino: - Population of one race: - American Indian and Alaska Native alone,Not Hispanic or Latino: - Population of one race: - Asian alone,Not Hispanic or Latino: - Population of one race: - Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino: - Population of one race: - Some other race alone,Not Hispanic or Latino: - Population of two or more races:,Not Hispanic or Latino: - Population of two or more races: - Population of two races:,Not Hispanic or Latino: - Population of two or more races: - Population of two races: - White; Black or African American,Not Hispanic or Latino: - Population of two or more races: - Population of two races: - White; American Indian and Alaska Native,Not Hispanic or Latino: - Population of two or more races: - Population of two races: - White; Asian,Not Hispanic or Latino: - Population of two or more races: - Population of two races: - White; Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino: - Population of two or more races: - Population of two races: - White; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of two races: - Black or African American; American Indian and Alaska Native,Not Hispanic or Latino: - Population of two or more races: - Population of two races: - Black or African American; Asian,Not Hispanic or Latino: - Population of two or more races: - Population of two races: - Black or African American; Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino: - Population of two or more races: - Population of two races: - Black or African American; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of two races: - American Indian and Alaska Native; Asian,Not Hispanic or Latino: - Population of two or more races: - Population of two races: - American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino: - Population of two or more races: - Population of two races: - American Indian and Alaska Native; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of two races: - Asian; Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino: - Population of two or more races: - Population of two races: - Asian; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of two races: - Native Hawaiian and Other Pacific Islander; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of three races:,Not Hispanic or Latino: - Population of two or more races: - Population of three races: - White; Black or African American; American Indian and Alaska Native,Not Hispanic or Latino: - Population of two or more races: - Population of three races: - White; Black or African American; Asian,Not Hispanic or Latino: - Population of two or more races: - Population of three races: - White; Black or African American; Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino: - Population of two or more races: - Population of three races: - White; Black or African American; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of three races: - White; American Indian and Alaska Native; Asian,Not Hispanic or Latino: - Population of two or more races: - Population of three races: - White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino: - Population of two or more races: - Population of three races: - White; American Indian and Alaska Native; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of three races: - White; Asian; Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino: - Population of two or more races: - Population of three races: - White; Asian; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of three races: - White; Native Hawaiian and Other Pacific Islander; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of three races: - Black or African American; American Indian and Alaska Native; Asian,Not Hispanic or Latino: - Population of two or more races: - Population of three races: - Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino: - Population of two or more races: - Population of three races: - Black or African American; American Indian and Alaska Native; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of three races: - Black or African American; Asian; Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino: - Population of two or more races: - Population of three races: - Black or African American; Asian; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of three races: - Black or African American; Native Hawaiian and Other Pacific Islander; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of three races: - American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino: - Population of two or more races: - Population of three races: - American Indian and Alaska Native; Asian; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of three races: - American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of three races: - Asian; Native Hawaiian and Other Pacific Islander; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of four races:,Not Hispanic or Latino: - Population of two or more races: - Population of four races: - White; Black or African American; American Indian and Alaska Native; Asian,Not Hispanic or Latino: - Population of two or more races: - Population of four races: - White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino: - Population of two or more races: - Population of four races: - White; Black or African American; American Indian and Alaska Native; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of four races: - White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino: - Population of two or more races: - Population of four races: - White; Black or African American; Asian; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of four races: - White; Black or African American; Native Hawaiian and Other Pacific Islander; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of four races: - White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino: - Population of two or more races: - Population of four races: - White; American Indian and Alaska Native; Asian; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of four races: - White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of four races: - White; Asian; Native Hawaiian and Other Pacific Islander; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of four races: - Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino: - Population of two or more races: - Population of four races: - Black or African American; American Indian and Alaska Native; Asian; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of four races: - Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of four races: - Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of four races: - American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of five races:,Not Hispanic or Latino: - Population of two or more races: - Population of five races: - White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,Not Hispanic or Latino: - Population of two or more races: - Population of five races: - White; Black or African American; American Indian and Alaska Native; Asian; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of five races: - White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of five races: - White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of five races: - White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of five races: - Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race,Not Hispanic or Latino: - Population of two or more races: - Population of six races:,Not Hispanic or Latino: - Population of two or more races: - Population of six races: - White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some other race
0500000US53001,53001,"Adams County, Washington",16428,7732,8696,8517,8366,20,45,75,2,9,179,174,13,62,22,5,58,0,2,0,0,0,0,0,2,10,0,5,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0500000US53003,53003,"Asotin County, Washington",20551,401,20150,19830,19426,34,245,103,5,17,320,292,22,196,26,7,34,4,0,0,0,0,0,2,0,1,0,26,13,4,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0500000US53005,53005,"Benton County, Washington",142475,17806,124669,122071,116457,1227,964,3104,126,193,2598,2453,387,811,545,61,494,18,14,5,8,16,7,15,25,44,3,131,42,5,2,7,13,5,12,31,5,1,0,0,1,0,1,0,6,0,0,0,7,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,1,1
0500000US53007,53007,"Chelan County, Washington",66616,12831,53785,52853,51590,111,552,441,66,93,932,885,51,412,187,27,165,8,1,0,9,2,2,4,5,11,1,41,6,2,0,2,3,3,13,9,0,0,3,0,0,0,0,0,0,0,0,0,5,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
0500000US53009,53009,"Clallam County, Washington",64525,2203,62322,60951,56413,517,3121,728,99,73,1371,1288,99,718,219,47,103,20,5,0,6,29,6,10,16,8,2,78,13,6,0,4,13,4,6,21,2,1,2,0,1,0,1,0,4,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0500000US53011,53011,"Clark County, Washington",345238,16248,328990,320030,299134,5628,2575,10993,1225,475,8960,8350,1305,2587,2047,437,1193,106,67,20,50,45,12,26,247,177,31,580,132,36,6,34,73,14,24,195,28,8,9,2,0,3,3,0,5,1,1,6,26,8,6,3,3,0,0,4,0,0,1,0,0,0,0,1,4,4,0,0,0,0,0,0,0
0500000US53013,53013,"Columbia County, Washington",4064,258,3806,3746,3685,9,34,16,2,0,60,59,0,36,12,3,7,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0500000US53015,53015,"Cowlitz County, Washington",92948,4231,88717,86668,83571,448,1280,1195,112,62,2049,1952,175,1173,293,68,130,19,4,2,10,18,8,3,25,18,6,94,35,4,0,2,20,2,10,14,3,4,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0500000US53017,53017,"Douglas County, Washington",32603,6433,26170,25732,25179,62,275,168,20,28,438,417,41,210,68,10,71,1,1,0,0,2,0,2,1,10,0,17,2,3,0,2,3,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0
