GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08,VD09,VD10
Id,Id2,Geography,Total:,Hispanic or Latino,Not Hispanic or Latino:,Not Hispanic or Latino: - Population of one race:,Not Hispanic or Latino: - Population of one race: - White alone,Not Hispanic or Latino: - Population of one race: - Black or African American alone,Not Hispanic or Latino: - Population of one race: - American Indian and Alaska Native alone,Not Hispanic or Latino: - Population of one race: - Asian alone,Not Hispanic or Latino: - Population of one race: - Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino: - Population of one race: - Some other race alone
0500000US53001,53001,"Adams County, Washington",16428,7732,8696,8517,8366,20,45,75,2,9
0500000US53003,53003,"Asotin County, Washington",20551,401,20150,19830,19426,34,245,103,5,17
0500000US53005,53005,"Benton County, Washington",142475,17806,124669,122071,116457,1227,964,3104,126,193
0500000US53007,53007,"Chelan County, Washington",66616,12831,53785,52853,51590,111,552,441,66,93
0500000US53009,53009,"Clallam County, Washington",64525,2203,62322,60951,56413,517,3121,728,99,73
0500000US53011,53011,"Clark County, Washington",345238,16248,328990,320030,299134,5628,2575,10993,1225,475
0500000US53013,53013,"Columbia County, Washington",4064,258,3806,3746,3685,9,34,16,2,0
0500000US53015,53015,"Cowlitz County, Washington",92948,4231,88717,86668,83571,448,1280,1195,112,62
0500000US53017,53017,"Douglas County, Washington",32603,6433,26170,25732,25179,62,275,168,20,28
0500000US53019,53019,"Ferry County, Washington",7260,205,7055,6839,5439,15,1289,18,4,74
0500000US53021,53021,"Franklin County, Washington",49347,23032,26315,25663,23470,1120,235,767,32,39
0500000US53023,53023,"Garfield County, Washington",2397,47,2350,2330,2304,0,9,15,1,1
0500000US53025,53025,"Grant County, Washington",74698,22476,52222,50992,48883,653,716,632,28,80
0500000US53027,53027,"Grays Harbor County, Washington",67194,3258,63936,62205,58112,205,2975,790,67,56
0500000US53029,53029,"Island County, Washington",71558,2843,68715,66593,60929,1634,639,2941,291,159
0500000US53031,53031,"Jefferson County, Washington",25953,535,25418,24709,23628,103,574,300,34,70
0500000US53033,53033,"King County, Washington",1737034,95242,1641792,1581132,1275127,91798,14278,186615,8737,4577
0500000US53035,53035,"Kitsap County, Washington",231969,9609,222360,213088,190751,6495,3462,10034,1699,647
0500000US53037,53037,"Kittitas County, Washington",33362,1668,31694,31151,29825,227,287,714,44,54
0500000US53039,53039,"Klickitat County, Washington",19161,1496,17665,17218,16329,26,639,136,40,48
0500000US53041,53041,"Lewis County, Washington",68600,3684,64916,63862,62174,239,795,466,115,73
0500000US53043,53043,"Lincoln County, Washington",10184,191,9993,9845,9632,22,152,24,7,8
0500000US53045,53045,"Mason County, Washington",49405,2361,47044,45747,42636,562,1722,512,208,107
0500000US53047,53047,"Okanogan County, Washington",39564,5688,33876,33052,28362,79,4355,172,21,63
0500000US53049,53049,"Pacific County, Washington",20984,1052,19932,19429,18462,36,467,435,16,13
0500000US53051,53051,"Pend Oreille County, Washington",11732,241,11491,11272,10821,17,324,72,23,15
0500000US53053,53053,"Pierce County, Washington",700820,38621,662199,631816,532934,47399,9018,35091,5708,1666
0500000US53055,53055,"San Juan County, Washington",14077,338,13739,13484,13187,34,109,125,11,18
0500000US53057,53057,"Skagit County, Washington",102979,11536,91443,89518,85496,422,1783,1513,146,158
0500000US53059,53059,"Skamania County, Washington",9872,398,9474,9284,8922,30,205,53,5,69
0500000US53061,53061,"Snohomish County, Washington",606024,28590,577434,560097,505198,9803,7666,34748,1613,1069
0500000US53063,53063,"Spokane County, Washington",417939,11561,406378,396328,375427,6437,5478,7758,630,598
0500000US53065,53065,"Stevens County, Washington",40066,739,39327,38323,35718,107,2163,193,56,86
0500000US53067,53067,"Thurston County, Washington",207355,9392,197963,191200,172963,4714,2883,9034,1030,576
0500000US53069,53069,"Wahkiakum County, Washington",3824,98,3726,3636,3546,9,60,18,3,0
0500000US53071,53071,"Walla Walla County, Washington",55180,8654,46526,45589,43502,869,399,600,115,104
0500000US53073,53073,"Whatcom County, Washington",166814,8687,158127,154473,143842,1065,4396,4598,223,349
0500000US53075,53075,"Whitman County, Washington",40740,1219,39521,38610,35317,613,280,2247,106,47
0500000US53077,53077,"Yakima County, Washington",222581,79905,142676,138803,125733,1842,8947,1957,109,215
