GEO.id,GEO.id2,GEO.display-label,D002,D005,D006,D007,D008,D009,VD02,VD05,VD06,VD07,VD08,VD09,D002_VD02,D005_VD05,D006_VD06,D007_VD07,D008_VD08,D009_VD09
Id,Id2,Geography,Hispanic or Latino,Not Hispanic or Latino: - Population of one race: - White alone,Not Hispanic or Latino: - Population of one race: - Black or African American alone,Not Hispanic or Latino: - Population of one race: - American Indian and Alaska Native alone,Not Hispanic or Latino: - Population of one race: - Asian alone,Not Hispanic or Latino: - Population of one race: - Native Hawaiian and Other Pacific Islander alone,Hispanic or Latino,Not Hispanic or Latino: - Population of one race: - White alone,Not Hispanic or Latino: - Population of one race: - Black or African American alone,Not Hispanic or Latino: - Population of one race: - American Indian and Alaska Native alone,Not Hispanic or Latino: - Population of one race: - Asian alone,Not Hispanic or Latino: - Population of one race: - Native Hawaiian and Other Pacific Islander alone,D002_VD02,D005_VD05,D006_VD06,D007_VD07,D008_VD08,D009_VD09
0500000US53001,53001,"Adams County, Washington",11099,7262,47,76,99,3,7732,8366,20,45,75,2,3367,-1104,27,31,24,1
0500000US53003,53003,"Asotin County, Washington",643,20026,89,272,114,36,401,19426,34,245,103,5,242,600,55,27,11,31
0500000US53005,53005,"Benton County, Washington",32696,130437,2031,1280,4621,221,17806,116457,1227,964,3104,126,14890,13980,804,316,1517,95
0500000US53007,53007,"Chelan County, Washington",18713,51202,177,514,570,89,12831,51590,111,552,441,66,5882,-388,66,-38,129,23
0500000US53009,53009,"Clallam County, Washington",3627,60400,558,3326,993,86,2203,56413,517,3121,728,99,1424,3987,41,205,265,-13
0500000US53011,53011,"Clark County, Washington",32166,347793,8025,2970,17276,2589,16248,299134,5628,2575,10993,1225,15918,48659,2397,395,6283,1364
0500000US53013,53013,"Columbia County, Washington",254,3649,12,47,23,14,258,3685,9,34,16,2,-4,-36,3,13,7,12
0500000US53015,53015,"Cowlitz County, Washington",7975,87825,572,1361,1472,209,4231,83571,448,1280,1195,112,3744,4254,124,81,277,97
0500000US53017,53017,"Douglas County, Washington",11013,26070,85,293,269,51,6433,25179,62,275,168,20,4580,891,23,18,101,31
0500000US53019,53019,"Ferry County, Washington",254,5662,18,1215,52,8,205,5439,15,1289,18,4,49,223,3,-74,34,4
0500000US53021,53021,"Franklin County, Washington",40004,33804,1339,357,1384,92,23032,23470,1120,235,767,32,16972,10334,219,122,617,60
0500000US53023,53023,"Garfield County, Washington",91,2102,0,5,38,0,47,2304,0,9,15,1,44,-202,0,-4,23,-1
0500000US53025,53025,"Grant County, Washington",34163,51066,710,779,783,54,22476,48883,653,716,632,28,11687,2183,57,63,151,26
0500000US53027,53027,"Grays Harbor County, Washington",6272,59282,762,3005,995,177,3258,58112,205,2975,790,67,3014,1170,557,30,205,110
0500000US53029,53029,"Island County, Washington",4295,65209,1641,561,3377,370,2843,60929,1634,639,2941,291,1452,4280,7,-78,436,79
0500000US53031,53031,"Jefferson County, Washington",848,26681,237,628,460,62,535,23628,103,574,300,34,313,3053,134,54,160,28
0500000US53033,53033,"King County, Washington",172378,1251300,116326,12931,280029,14068,95242,1275127,91798,14278,186615,8737,77136,-23827,24528,-1347,93414,5331
0500000US53035,53035,"Kitsap County, Washington",15686,198745,6329,3524,12082,2177,9609,190751,6495,3462,10034,1699,6077,7994,-166,62,2048,478
0500000US53037,53037,"Kittitas County, Washington",3121,35214,339,353,795,56,1668,29825,227,287,714,44,1453,5389,112,66,81,12
0500000US53039,53039,"Klickitat County, Washington",2171,17022,42,434,122,17,1496,16329,26,639,136,40,675,693,16,-205,-14,-23
0500000US53041,53041,"Lewis County, Washington",6527,64881,370,952,643,103,3684,62174,239,795,466,115,2843,2707,131,157,177,-12
0500000US53043,53043,"Lincoln County, Washington",239,9891,25,162,41,5,191,9632,22,152,24,7,48,259,3,10,17,-2
0500000US53045,53045,"Mason County, Washington",4844,50349,609,1864,692,214,2361,42636,562,1722,512,208,2483,7713,47,142,180,6
0500000US53047,53047,"Okanogan County, Washington",7227,28092,131,4391,223,27,5688,28362,79,4355,172,21,1539,-270,52,36,51,6
0500000US53049,53049,"Pacific County, Washington",1677,17699,67,427,424,14,1052,18462,36,467,435,16,625,-763,31,-40,-11,-2
0500000US53051,53051,"Pend Oreille County, Washington",391,11677,50,466,73,16,241,10821,17,324,72,23,150,856,33,142,1,-7
0500000US53053,53053,"Pierce County, Washington",72849,559160,51436,9143,46520,10205,38621,532934,47399,9018,35091,5708,34228,26226,4037,125,11429,4497
0500000US53055,53055,"San Juan County, Washington",857,14228,49,84,179,14,338,13187,34,109,125,11,519,1041,15,-25,54,3
0500000US53057,53057,"Skagit County, Washington",19709,89694,640,2038,2025,180,11536,85496,422,1783,1513,146,8173,4198,218,255,512,34
0500000US53059,53059,"Skamania County, Washington",553,9918,44,150,96,11,398,8922,30,205,53,5,155,996,14,-55,43,6
0500000US53061,53061,"Snohomish County, Washington",64249,529814,17299,8451,62760,3002,28590,505198,9803,7666,34748,1613,35659,24616,7496,785,28012,1389
0500000US53063,53063,"Spokane County, Washington",21260,408629,7714,6478,9799,1817,11561,375427,6437,5478,7758,630,9699,33202,1277,1000,2041,1187
0500000US53065,53065,"Stevens County, Washington",1185,38261,145,2275,234,62,739,35718,107,2163,193,56,446,2543,38,112,41,6
0500000US53067,53067,"Thurston County, Washington",17787,199019,6420,3009,12820,1869,9392,172963,4714,2883,9034,1030,8395,26056,1706,126,3786,839
0500000US53069,53069,"Wahkiakum County, Washington",108,3678,8,48,22,6,98,3546,9,60,18,3,10,132,-1,-12,4,3
0500000US53071,53071,"Walla Walla County, Washington",11593,43604,1004,452,733,159,8654,43502,869,399,600,115,2939,102,135,53,133,44
0500000US53073,53073,"Whatcom County, Washington",15756,164675,1789,5070,6988,459,8687,143842,1065,4396,4598,223,7069,20833,724,674,2390,236
0500000US53075,53075,"Whitman County, Washington",2040,36760,721,272,3449,99,1219,35317,613,280,2247,106,821,1443,108,-8,1202,-7
0500000US53077,53077,"Yakima County, Washington",109470,116024,1743,9072,2359,142,79905,125733,1842,8947,1957,109,29565,-9709,-99,125,402,33
