GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD05,VD06,VD07,VD08,VD09,VD10
Id,Id2,Geography,Total,Hispanic or Latino,White_Alone,Black_or_African_American_Alone,American_Indian_and_Alaska_Native_Alone,Asian_Alone,Native_Hawaiian_and_Other_Pacific_Islander_Alone,Some_Other_Race_Alone
1400000US53001950100,53001950100,"Census Tract 9501, Adams County, Washington",2547,69,2409,6,14,13,0,1
1400000US53001950200,53001950200,"Census Tract 9502, Adams County, Washington",1895,193,1652,2,8,5,1,0
1400000US53001950300,53001950300,"Census Tract 9503, Adams County, Washington",5883,3543,2239,1,11,18,0,1
1400000US53001950400,53001950400,"Census Tract 9504, Adams County, Washington",2625,1648,917,6,4,19,0,2
1400000US53001950500,53001950500,"Census Tract 9505, Adams County, Washington",3478,2279,1149,5,8,20,1,5
1400000US53003980100,53003980100,"Census Tract 9801, Asotin County, Washington",3769,46,3637,3,37,7,1,4
1400000US53003980200,53003980200,"Census Tract 9802, Asotin County, Washington",4387,61,4193,1,32,32,1,1
1400000US53003980300,53003980300,"Census Tract 9803, Asotin County, Washington",3794,108,3533,3,62,22,1,3
1400000US53003980400,53003980400,"Census Tract 9804, Asotin County, Washington",1996,59,1854,6,20,10,0,2
1400000US53003980500,53003980500,"Census Tract 9805, Asotin County, Washington",3415,64,3190,11,50,24,1,0
1400000US53003980600,53003980600,"Census Tract 9806, Asotin County, Washington",3190,63,3019,10,44,8,1,7
1400000US53005010100,53005010100,"Census Tract 101, Benton County, Washington",4635,112,4093,30,33,280,0,0
1400000US53005010201,53005010201,"Census Tract 102.01, Benton County, Washington",3533,129,3091,31,29,199,0,9
1400000US53005010202,53005010202,"Census Tract 102.02, Benton County, Washington",5985,380,4965,106,41,340,6,7
1400000US53005010300,53005010300,"Census Tract 103, Benton County, Washington",4359,166,3933,27,48,82,9,7
1400000US53005010400,53005010400,"Census Tract 104, Benton County, Washington",3543,213,3123,51,40,54,2,5
1400000US53005010500,53005010500,"Census Tract 105, Benton County, Washington",3057,185,2627,60,22,80,2,8
1400000US53005010600,53005010600,"Census Tract 106, Benton County, Washington",3666,218,3147,83,16,75,12,16
1400000US53005010700,53005010700,"Census Tract 107, Benton County, Washington",11257,529,10235,50,58,193,3,9
1400000US53005010801,53005010801,"Census Tract 108.01, Benton County, Washington",8364,307,7729,41,26,129,6,8
1400000US53005010803,53005010803,"Census Tract 108.03, Benton County, Washington",3303,175,2934,35,14,102,0,0
1400000US53005010804,53005010804,"Census Tract 108.04, Benton County, Washington",12431,627,10859,144,83,514,8,23
1400000US53005010901,53005010901,"Census Tract 109.01, Benton County, Washington",4894,640,4006,71,24,60,9,1
1400000US53005010902,53005010902,"Census Tract 109.02, Benton County, Washington",4393,591,3520,30,35,104,3,6
1400000US53005011001,53005011001,"Census Tract 110.01, Benton County, Washington",4592,481,3808,34,34,100,3,3
1400000US53005011002,53005011002,"Census Tract 110.02, Benton County, Washington",4307,674,3304,65,39,91,0,9
1400000US53005011100,53005011100,"Census Tract 111, Benton County, Washington",6390,779,5261,65,44,100,6,3
1400000US53005011200,53005011200,"Census Tract 112, Benton County, Washington",7331,2907,3836,111,63,123,4,16
1400000US53005011300,53005011300,"Census Tract 113, Benton County, Washington",4874,1379,3191,39,55,84,7,16
1400000US53005011401,53005011401,"Census Tract 114.01, Benton County, Washington",3455,479,2763,45,25,63,1,13
1400000US53005011402,53005011402,"Census Tract 114.02, Benton County, Washington",4707,320,4209,22,17,60,3,9
1400000US53005011501,53005011501,"Census Tract 115.01, Benton County, Washington",6504,608,5694,3,64,15,2,5
1400000US53005011502,53005011502,"Census Tract 115.02, Benton County, Washington",8658,501,7758,55,48,166,7,0
1400000US53005011600,53005011600,"Census Tract 116, Benton County, Washington",830,319,500,0,2,1,4,0
1400000US53005011700,53005011700,"Census Tract 117, Benton County, Washington",5970,1718,4109,14,28,43,12,2
1400000US53005011800,53005011800,"Census Tract 118, Benton County, Washington",5907,2398,3363,8,30,14,16,15
1400000US53005011900,53005011900,"Census Tract 119, Benton County, Washington",5494,960,4376,7,46,30,1,3
1400000US53005012000,53005012000,"Census Tract 120, Benton County, Washington",36,11,23,0,0,2,0,0
1400000US53007960100,53007960100,"Census Tract 9601, Chelan County, Washington",2236,396,1758,8,26,16,0,2
1400000US53007960200,53007960200,"Census Tract 9602, Chelan County, Washington",5902,270,5462,3,47,17,5,13
1400000US53007960300,53007960300,"Census Tract 9603, Chelan County, Washington",6222,1391,4629,3,75,25,4,10
1400000US53007960400,53007960400,"Census Tract 9604, Chelan County, Washington",3248,1194,1974,1,29,9,1,7
1400000US53007960500,53007960500,"Census Tract 9605, Chelan County, Washington",6881,1411,5264,13,47,23,14,3
1400000US53007960600,53007960600,"Census Tract 9606, Chelan County, Washington",3943,698,3154,2,18,15,4,6
1400000US53007960700,53007960700,"Census Tract 9607, Chelan County, Washington",2734,180,2443,2,14,33,4,2
1400000US53007960800,53007960800,"Census Tract 9608, Chelan County, Washington",8870,1193,7397,12,47,101,6,8
1400000US53007960900,53007960900,"Census Tract 9609, Chelan County, Washington",8225,781,7162,16,48,88,5,20
1400000US53007961000,53007961000,"Census Tract 9610, Chelan County, Washington",6632,1954,4352,35,100,43,13,6
1400000US53007961100,53007961100,"Census Tract 9611, Chelan County, Washington",8217,2934,4998,13,82,49,5,13
1400000US53007961200,53007961200,"Census Tract 9612, Chelan County, Washington",3506,429,2997,3,19,22,5,3
