GEO.id,GEO.id2,GEO.display-label,D002_VD02,D005_VD05,D006_VD06,D007_VD07,D008_VD08,D009_VD09
Id,Id2,Geography,D002_VD02,D005_VD05,D006_VD06,D007_VD07,D008_VD08,D009_VD09
0500000US53001,53001,"Adams County, Washington",3367,-1104,27,31,24,1
0500000US53003,53003,"Asotin County, Washington",242,600,55,27,11,31
0500000US53005,53005,"Benton County, Washington",14890,13980,804,316,1517,95
0500000US53007,53007,"Chelan County, Washington",5882,-388,66,-38,129,23
0500000US53009,53009,"Clallam County, Washington",1424,3987,41,205,265,-13
0500000US53011,53011,"Clark County, Washington",15918,48659,2397,395,6283,1364
0500000US53013,53013,"Columbia County, Washington",-4,-36,3,13,7,12
0500000US53015,53015,"Cowlitz County, Washington",3744,4254,124,81,277,97
0500000US53017,53017,"Douglas County, Washington",4580,891,23,18,101,31
0500000US53019,53019,"Ferry County, Washington",49,223,3,-74,34,4
0500000US53021,53021,"Franklin County, Washington",16972,10334,219,122,617,60
0500000US53023,53023,"Garfield County, Washington",44,-202,0,-4,23,-1
0500000US53025,53025,"Grant County, Washington",11687,2183,57,63,151,26
0500000US53027,53027,"Grays Harbor County, Washington",3014,1170,557,30,205,110
0500000US53029,53029,"Island County, Washington",1452,4280,7,-78,436,79
0500000US53031,53031,"Jefferson County, Washington",313,3053,134,54,160,28
0500000US53033,53033,"King County, Washington",77136,-23827,24528,-1347,93414,5331
0500000US53035,53035,"Kitsap County, Washington",6077,7994,-166,62,2048,478
0500000US53037,53037,"Kittitas County, Washington",1453,5389,112,66,81,12
0500000US53039,53039,"Klickitat County, Washington",675,693,16,-205,-14,-23
0500000US53041,53041,"Lewis County, Washington",2843,2707,131,157,177,-12
0500000US53043,53043,"Lincoln County, Washington",48,259,3,10,17,-2
0500000US53045,53045,"Mason County, Washington",2483,7713,47,142,180,6
0500000US53047,53047,"Okanogan County, Washington",1539,-270,52,36,51,6
0500000US53049,53049,"Pacific County, Washington",625,-763,31,-40,-11,-2
0500000US53051,53051,"Pend Oreille County, Washington",150,856,33,142,1,-7
0500000US53053,53053,"Pierce County, Washington",34228,26226,4037,125,11429,4497
0500000US53055,53055,"San Juan County, Washington",519,1041,15,-25,54,3
0500000US53057,53057,"Skagit County, Washington",8173,4198,218,255,512,34
0500000US53059,53059,"Skamania County, Washington",155,996,14,-55,43,6
0500000US53061,53061,"Snohomish County, Washington",35659,24616,7496,785,28012,1389
0500000US53063,53063,"Spokane County, Washington",9699,33202,1277,1000,2041,1187
0500000US53065,53065,"Stevens County, Washington",446,2543,38,112,41,6
0500000US53067,53067,"Thurston County, Washington",8395,26056,1706,126,3786,839
0500000US53069,53069,"Wahkiakum County, Washington",10,132,-1,-12,4,3
0500000US53071,53071,"Walla Walla County, Washington",2939,102,135,53,133,44
0500000US53073,53073,"Whatcom County, Washington",7069,20833,724,674,2390,236
0500000US53075,53075,"Whitman County, Washington",821,1443,108,-8,1202,-7
0500000US53077,53077,"Yakima County, Washington",29565,-9709,-99,125,402,33
